Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Priority,Resolution,Assignee,Creator,Created,Updated,Last Viewed,Resolved,Version / Delivery,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Inward issue link (Parent-Child),Inward issue link (Parent-Child),Inward issue link (Relation),Custom field (Defect Type),Definition of Done,Definition of Done,Custom field (Integrated),Custom field (Interaction Design Responsible),Custom field (Investment Cluster & Strategic Theme),Custom field (Issue Flags),Custom field (Job Size),Custom field (Justification),Custom field (Manual Activity),Custom field (Manual Test Steps),Custom field (Message Type),Custom field (Mgmt Status),Custom field (Min. Scope),Custom field (Planned Delivery Date (PDD)),Sprint,Sprint,Sprint,Custom field (Stack),Custom field (Stakeholder),Custom field (Start Date),Custom field (Status (Detailed)),Custom field (Status Comments),Custom field (Steps to Duplicate),Custom field (Story Points),Custom field (Team(s)),Custom field (Test Count),Custom field (Test Execution Status),Custom field (Test Plan),Custom field (Threat Event Frequency),Custom field (Tier),Custom field (VA Handover Parameters)
[SAM]: PROD enable avatar,UIDX-6351,26440432,Activity,Done,UIDX,UIDX,software,Medium,,C5380841,C5403847,9/2/2025 8:10,11/6/2025 8:57,11/10/2025 12:35,,release 42.2,SAM,9/5/2024 0:00,0,,,,,ARTDATA-5024,,,Internal,,Empty,,,Foundation -> Data Technology & Foundation,,,,,[],,Green,Yes,12/7/2025 0:00,CIM Iteration 25.4.4,,,,,,Maintain Status information,,,1,Magenta,,"{""issueId"":26440432,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[Account Manager] Update to GDPR statement,UIDX-6318,26384071,Story,clarification,UIDX,UIDX,software,Medium,,,C5403847,8/28/2025 8:59,11/10/2025 8:33,11/10/2025 12:36,,,,,0,Magenta,PI-Q4-2025,TrustArc - update to GDPR statement,,ARTDATA-5024,,,Internal,,Empty,,,Continuous Optimization -> Funnel 07 IT,,,,,[],,Green,Yes,12/7/2025 0:00,CIM IP Iteration 25.4.6,,,,,,Maintain Status information,,,1,Magenta,,"{""issueId"":26384071,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[SAM][FE/QA] Upload and Delete avatar,UIDX-6317,26383565,Story,Done,UIDX,UIDX,software,High,,C5393091,C5403847,8/28/2025 8:58,11/10/2025 11:05,11/10/2025 12:36,,release 42.1,SAM,,0,frontend,qa,"*Background*
Front-end work and accessibility testing effort for uploading and deleting avatar.

Implementation Technical Details > [https://aDomain/wiki/x/40sEQgE]

*Technical Details [Avatar Client API]:*
Profile team has implemented UID Avatar Upload, Delete and resizing > [https://profile.sap.com/. |https://profile.sap.com/] Here are some details on their implementation
 #  Overall avatar editing ui code is incorporated to the repository [https://github.tools.sap/sap-community/com.sap.profile.ui]
 # Precise location of the implementation is [https://github.tools.sap/sap-community/com.sap.profile.ui/tree/main/src/modules/profile/components/avatar-editor]
 # *react-easy-crop* [https://github.tools.sap/sap-community/com.sap.profile.ui/blob/main/package.json#L45]  [https://www.npmjs.com/package/react-easy-crop]  and  *react-dropzone* [https://github.tools.sap/sap-community/com.sap.profile.ui/blob/main/package.json#L44]. [https://www.npmjs.com/package/react-dropzone] are used + r{*}eact-image-file-resizer{*} [https://www.npmjs.com/package/react-image-file-resizer]
 # [AvatarEditor.tsx|https://github.tools.sap/sap-community/com.sap.profile.ui/blob/main/src/modules/profile/components/avatar-editor/AvatarEditor.tsx] is implemented by our team to assemble dialog from libs functionality.

*Acceptance Criteria*
A/C #1 - Avatar upload
GIVEN User uploads a image
WHEN Image format is jpeg. 
THEN avatar image is updated and success message is shown

A/C #2 - Avatar upload (validation)
GIVEN User uploads a image
WHEN Image format is not jpeg. 
THEN Show error message, avatar upload not successful image to the user
 
A/C #3 - Avatar delete
GIVEN User deletes avatar image
THEN Show message that avatar was successfully deleted

 
+*Technical:*+

*_Upload:_*

 {code:java}
POST /v1/avatar?idsName={idsName}

Headers:
Authentication: Bearer {accessToken}
Content-Type: multipart/form-data

Body:
multipart/form-data -> file
key: avatar
value: {file.jpeg}
Content-Type: image/jpeg  {code}
 

_Note: Allow upload only jpeg files._

*_Delete_*
{code:java}
DELETE /v1/avatar?idsName={idsName}

Headers:
Authentication: Bearer {accessToken}
{code}
 

+*List of possible validation errors*+
{code:java}
MISSING_MULTIPART_DATA
TOO_MANY_FILES
IMAGE_NAME_MUST_BE_AVATAR
IMAGE_FORMAT_ONLY_JPEG
IMAGE_INVALID_DATA
MISSING_IDS_NAME
USER_IS_INACTIVE
INVALID_USER {code}
 

+*_Format of error messages:_*+
{code:java}
{
  ""details"": ""MISSING_IDS_NAME"",
  ""traceId"": ""68ef62a078ee7381e0d5b52c9723c4fd""
} {code}",,ARTDATA-5024,,IUMQA-3131,Internal,,Empty,,,Continuous Optimization -> Funnel 07 IT,,,,,[],,Green,Yes,12/7/2025 0:00,CIM Iteration 25.4.4,,,,,,Maintain Status information,,,5,Magenta,,"{""issueId"":26383565,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[SAM/Avatar][FE] Refactoring,UIDX-6316,26383548,Activity,Done,UIDX,UIDX,software,Medium,,C5393091,C5403847,8/28/2025 8:56,11/10/2025 11:09,11/10/2025 12:36,,release 44.0,Identity Renovation,,0,frontend,,"Focus on:
 * Code clean up
 * Better state management",,ARTDATA-5024,,,Internal,,Empty,,,Continuous Optimization -> Funnel 07 IT,,,,,[],,Green,Yes,12/7/2025 0:00,CIM Iteration 25.4.5,,,,,,Maintain Status information,,,5,Magenta,,"{""issueId"":26383548,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[SAM][BE]Upload and Delete avatar,UIDX-6315,26383541,Story,Done,UIDX,UIDX,software,High,,I762755,C5403847,8/28/2025 8:55,11/3/2025 10:25,11/10/2025 12:36,,release 42.1,SAM,,0,backend,,"Profile team has implemented feature to upload IDS Avatar Image. SAM backend should integrate with profile API to upload and delete avatar image, also SAM backend should expose endpoints secured by access_token to upload and delete avatar image. 

Avatar implementation is documented here > [https://aDomain/wiki/x/40sEQgE]
 * Url generation logic with salt is implemented as part of UIDX-6313, refactore the code so *avatar-owner i.e* the unique IDS image value generation is one place. 
 * Validate the file format is jpg. On error, return http status 400 (Bad request)

 * If the profile api is down. Return status 500, try again later. **

 

*Acceptance Criteria:*
A/C #1 - Avatar upload
GIVEN user uploads a  image
WHEN Image format is jpeg. 
THEN call profile endpoint to save the image. Return http status 200 & image url you receive from profile api. 

 

A/C #2 - Avatar upload
GIVEN user uploads a image
WHEN Image format is not jpeg. 
THEN  Return http status 400, with appropriate error status. 

 

A/C #3 - Avatar delete
GIVEN user deletes image
THEN call profile endpoint to delete the image. Return http status 204. 

 

A/C #4 - Avatar api is down
GIVEN user upload or delete image
WHEN profile api is down. 
THEN return 500. 

Note: not possible to simulate for testing we are not owners of avatar api.

 

A/C #5 - Avatar api returns error
GIVEN user upload or delete image
WHEN profile api return error
THEN forward response to user

 

A/C #6 - Avatar api returns error
GIVEN user upload image with size bigger than 5 MB
THEN returns error HTTP 413

 

+*List of possible validation errors*+
{code:java}
MISSING_MULTIPART_DATA
TOO_MANY_FILES
IMAGE_NAME_MUST_BE_AVATAR
IMAGE_FORMAT_ONLY_JPEG
IMAGE_INVALID_DATA
MISSING_IDS_NAME
USER_IS_INACTIVE
INVALID_USER {code}
+*_Format of error messages:_*+
{code:java}
{
  ""details"": ""MISSING_IDS_NAME"",
  ""traceId"": ""68ef62a078ee7381e0d5b52c9723c4fd""
} {code}
 

For testing needed to be used QA env as Profile API does not have dev env.

+*echnical:*+

*_Upload:_*

 
{code:java}
POST /v1/avatar?idsName={idsName}

Headers:
Authentication: Bearer {accessToken}
Content-Type: multipart/form-data

Body:
multipart/form-data -> file
key: avatar
value: {file.jpeg}
Content-Type: image/jpeg  {code}
 

_Note: Allow upload only jpeg files._

*_Delete_*
{code:java}
DELETE /v1/avatar?idsName={idsName}

Headers:
Authentication: Bearer {accessToken}{code}",,ARTDATA-5024,,,Internal,,Empty,,,Continuous Optimization -> Funnel 07 IT,,,,,[],,Green,Yes,12/7/2025 0:00,CIM Iteration 25.4.2,CIM Iteration 25.4.3,,,,,Maintain Status information,,,5,Magenta,,"{""issueId"":26383541,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[SAM][FE] Load avatar,UIDX-6314,26383534,Story,Done,UIDX,UIDX,software,High,,C5393091,C5403847,8/28/2025 8:53,11/6/2025 8:57,11/10/2025 12:36,,release 42.1,SAM,,0,frontend,,"*Background*
Front-end work for loading avatar.

 Figma: [https://www.figma.com/design/yyAxcNFkmELHbOy0QPKoou/Account-manager-in-SAP4me-Tickets?node-id=1479-14699&t=NTSp75Gtjr37fxEM-1] [https://www.figma.com/design/yyAxcNFkmELHbOy0QPKoou/Account-manager-in-SAP4me-Tickets?node-id=1232-16949&t=66AddmyqSZnY9xn7-1]
Implementation Technical Details > https://aDomain/wiki/x/40sEQgE

*Avatar Client API:*
Profile team has implemented UID Avatar Upload, It seem to have a component for display with edit icon. Please check have a check 

 #  Profile [https://profile.sap.com/. |https://profile.sap.com/] 
 # Overall avatar editing ui code is incorporated to the repository [https://github.tools.sap/sap-community/com.sap.profile.ui]
 # Precise location of the implementation is [https://github.tools.sap/sap-community/com.sap.profile.ui/tree/main/src/modules/profile/components/avatar-editor]
 # *react-easy-crop* [https://github.tools.sap/sap-community/com.sap.profile.ui/blob/main/package.json#L45]  [https://www.npmjs.com/package/react-easy-crop]  and  *react-dropzone* [https://github.tools.sap/sap-community/com.sap.profile.ui/blob/main/package.json#L44]. [https://www.npmjs.com/package/react-dropzone] are used + r{*}eact-image-file-resizer{*} [https://www.npmjs.com/package/react-image-file-resizer]
 # [AvatarEditor.tsx|https://github.tools.sap/sap-community/com.sap.profile.ui/blob/main/src/modules/profile/components/avatar-editor/AvatarEditor.tsx] is implemented by our team to assemble dialog from libs functionality.

*Acceptance Criteria*
A/C #1 - Loading avatar successfully
GIVEN User uploads image
THEN It is loaded successfully and displayed to the user

A/C #2 - Loading avatar fails
GIVEN User uploads image
WHEN It is not loaded successfully
THEN An error/unsuccess message is displayed to the user",,ARTDATA-5024,,,Internal,,Empty,,,Continuous Optimization -> Funnel 07 IT,,,,,[],,Green,Yes,12/7/2025 0:00,CIM Iteration 25.4.4,CIM Iteration 25.4.3,,,,,Maintain Status information,,,3,Magenta,,"{""issueId"":26383534,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[SAM][BE] Enriching V1 account endpoint,UIDX-6313,26383518,Story,Done,UIDX,UIDX,software,High,,I767436,C5403847,8/28/2025 8:52,9/24/2025 14:09,11/10/2025 12:36,,release 40.0,SAM,,0,backend,,"Avatar implementation is documented here > [https://aDomain/wiki/x/40sEQgE]

*Dependency:*
For salt value reachout to [~I753307] 

*Acceptance Criteria:*
avatar small and large url as part of v1/account for every IDS User
{code:java}
{
    ""email"": ""rama.ramiah@someDomain.com"",
    ""username"": ""S0012221155"",
    ""firstName"": ""Rama"",
    ""lastName"": ""Ramiah"",
    ""avatarUrlSmall"": "" https://avatars.profile-qa.sap.com/ids/0/d/id0d3_small.jpeg"",
    ""avatarUrlLarge"": "" https://avatars.profile-qa.sap.com/ids/0/d/id0d3_large.jpeg"",
    ...
    ""ownershipStatus"": ""BELONGS_TO_ONE_OF_VERIFIED_EMAILS"",
    ""status"": ""ACTIVE""
}{code}",,ARTDATA-5024,,,Internal,,Empty,,,Continuous Optimization -> Funnel 07 IT,,,,,[],,Green,Yes,12/7/2025 0:00,CIM Iteration 25.4.1,,,,,,Maintain Status information,,,5,Magenta,,"{""issueId"":26383518,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[FE] SAM | IDS Account Avatar (no BE),UIDX-5146,24660007,Story,Done,UIDX,UIDX,software,Medium,,C5393091,C5392084,4/22/2025 7:27,6/27/2025 9:08,11/10/2025 12:36,,release 33.0,SAM,,0,frontend,,"*As a* SAM user, *I want to have* separate avatars for different IDS identities *so that I* can manage better my linked accounts and switch easily between accounts

 

*Background*

To reflect what identity is currently authenticated we show the assigned avatar picture in the masthead. Post UID removal as IDP, user will need to be able to assign avatars on different IDS identity linked to UID. This story is about introducing such ability in SAM. 

Note the existing UID Avatar is not affected, it's still fetched from the profile.sap.com and the related APIs - see [wiki|https://aDomain/wiki/display/ONEPROFILE/Avatar+API]

*Technical Details*
 * This story is about preparing the FE & UX part required for UIDX-4705

 

*Note -* we aim to replicate the functional behaviour that is present on profile.sap.com, please check out how it works there currently

 

*Acceptance Criteria*
 * IDS account avatars can be hidden via feature toggle 
 * -Upon selecting an identity in the Identity table, user can view the existing avatar in the details section on the right-
 ** -If no avatar has been uploaded for that identity, user see default picture. Note: profile service provides picture in all cases even default one.-
 * Upon clicking Edit Avatar icon, users can browse for new avatar picture and then upload it
 ** Supported file formats - JPG , (?) PNG
 ** File max size limitation
 * Delete option is supported
 * Option to resize and crop the picture on screen is supported (see profile.sap.com)
 * Show success message or error upon new avatar upload

 

*Additional Info*

link to Figma: [https://www.figma.com/design/yyAxcNFkmELHbOy0QPKoou/Account-manager-in-SAP4me-Tickets?node-id=1232-16949&t=3nIvmut0rJ5mc2wl-0] 

 

Profile Github repo - [https://github.wdf.sap.corp/sap-community/com.sap.profile.ui/tree/main]

 

See files:
 * /com.sap.profile.ui-main/src/modules/profile/components/hero-unit/HeroUnit.tsx
 * /com.sap.profile.ui-main/src/modules/profile/components/avatar-editor/AvatarEditor.tsx

 

Link to Profile - [https://profile.sap.com/] 

 ",,ARTDATA-5024,,,Internal,,Empty,,,,,,,,[],,Green,Yes,,CIM Iteration 25.2.6,CIM Iteration 25.3.1,CIM Iteration 25.2.5,,,,Maintain Status information,,,8,Magenta,,"{""issueId"":24660007,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[Design] Create a responsive design for View and upload Avatar flow,UIDX-5121,24614806,Activity,Done,UIDX,UIDX,software,Medium,,C5390200,C5390200,4/16/2025 10:04,5/6/2025 14:34,11/10/2025 12:36,,,SAM,,0,design,,Create a responsive design for View and upload Avatar flow,,ARTDATA-5024,,,Internal,,Empty,,,,,,,,[],,Green,Yes,,CIM Iteration 25.2.4,,,,,,Maintain Status information,,,,Magenta,,"{""issueId"":24614806,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
[SAM][BE] UID Avatar upload and delete,UIDX-4960,24273237,Activity,Development,UIDX,UIDX,software,Medium,,I762755,C5392084,3/21/2025 9:34,10/29/2025 13:27,11/10/2025 12:36,,,SAM,,0,backend,,"*Background*

When you try to update the UID avatar image in SAM, you get redirected to profile.sap.com.  As part of UIDX-6315, now IDS image can be uploaded from SAM. We want to extend this functionality to UID. 

Unify approach between IDS and UID for read, write (add it).

*Technical Details*
 * Unlike for IDS, there is no UID Salt value for uid. So you generate the hash, just using uid. 
 * UID avatar upload url /api/v1/avatars

*Acceptance Criteria:*

A/C #1 - UID avatar can be updated in SAM
GIVEN user is interested to update UID avatar image
WHEN an attempt to do so in SAM is made
THEN avatar can be updated directly, without redirect",,ARTDATA-5024,,,Internal,,Empty,,,,,,,,[],,Green,Yes,,CIM IP Iteration 25.4.6,,,,,,Maintain Status information,,,5,Magenta,,"{""issueId"":24273237,""testStatuses"":[]}",,,,maintain in CAL Solution Editor
